BV,av,title,pubtime,tag,up,fans,length,view,danmu,review,favorite
BV1oJ41117Rh,76382775,在日本真的会被搭讪！？10分钟内被5个日本小哥哥搭讪亲身经历！,Wed Nov 20 18:23:10 2019,"全能打卡挑战,搭讪,日语,VLOG,旅行,日本",吉原悠一_yui,952000,853,4775243,28260,6024,30977
BV1CE411y7ye,73217604,和机器人谈笑风生,Thu Oct 24 10:44:20 2019,"机器人,老番茄,vlog,进博会,科创板",老番茄,11468000,605,4731664,33737,4063,54844
BV1Uk4y1r7Gj,752963919,如果能过审 可能三个百大的号就没了！(第一期),Sun Apr 26 11:00:52 2020,"春日vlog挑战,VLOG,搞笑,不要做挑战,悬头贴贴贴,小潮院长,力元君,啊吗粽,挑战,陈睿",啊吗粽,2514000,1228,4730990,40304,8937,45947
BV1db411K7f6,49216130,字体侵权，我赔了10万元。他们算版权流氓吗？,Sat Apr 13 23:06:47 2019,"Vlog人生第一次,生活,海外,VLOG,字体,版权,侵权,版权流氓,维权",毒角SHOW,3100000,344,4679247,18628,16375,42365
BV1jJ411P7CE,67434877,b站600万播放量能赚多少钱?一次性花完是什么体验？,Thu Sep 12 18:50:42 2019,"我的生活态度,生活,中秋节,中秋,自制,生活记录,记录,VLOG,正能量,节日",我是芒十一,294000,422,4669397,28877,5957,103651
BV13E411o7gY,71293299,原以为是个大馒头，一刀下去，馋哭！,Tue Oct 15 17:30:08 2019,"vlog爱拍挑战,美食圈,美食,吃货,生活,制作教程,甜品,甜点,免烤,料理制作",黑猫厨房,1777000,444,4664741,5961,1319,33208
BV1Fb411E7Vm,47180907,【何同学】每天只看半小时手机，坚持一周后我有哪些变化？,Sun Mar 24 11:34:51 2019,"校园vlog,iPhone,iPad,iOS,屏幕使用时间,戒手机",老师好我叫何同学,4421000,657,4661960,37783,10746,170070
BV1cJ411E7Bd,83743079,华农兄弟：快过年了，给村里的老人做个美味的年夜饭,Fri Jan 17 11:05:46 2020,"春节vlog,美食圈,美食,华农,动物圈,动物,华农兄弟,竹鼠,农村美食,时尚",华农兄弟,5674000,1533,4617631,79969,13908,53831
BV1hE411W7jD,93914906,两千粉的月收入情况！B站牛逼 ！（凝聚力量）,Fri Mar  6 16:25:27 2020,"全能打卡挑战,生活,粉丝,英雄联盟,电子竞技,B站,哔哩哔哩,vlog,收入,鸡里奥",心做无声i,70000,243,4615863,8376,3777,27938
BV1fE41137iN,96384020,谋   权   篡   位,Sun Mar 15 03:26:54 2020,"逗比,搞笑,恶搞,搞笑视频,奇葩,vlog,小潮,恶作剧,生活,沙雕",小潮院长,3163000,606,4573932,21333,3469,49620
BV18J411L7mT,82210260,送到别墅区的外卖总是让人意想不到。,Sun Jan  5 20:10:12 2020,"我的职业故事,吴君,骑士,机车,摩托,外卖小哥,VLOG,小黄鸭,骑上我心爱的小摩托,搞笑",吴君_,175000,1148,4562970,9739,3066,9413
